ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
111,Downing of Korean Air Flight 007,"In 1983, the Soviet Air Force shot down a South Korean civilian airliner, killing 269 people. Black box evidence confirmed it was a commercial flight that strayed off course.","Soviet authorities initially denied responsibility, later claimed it was a spy plane. They justified the action as national defense, omitting evidence of civilian status.",Soviet Union,1983,ICAO Report; U.S. Congressional Hearings; Flight Data Archives,manual
112,Suppression of Polish Solidarity Movement,"The USSR pressured Poland to declare martial law in 1981, suppressing the Solidarity trade union movement. Thousands were imprisoned, and civil liberties suspended.","Official Soviet narratives framed Solidarity as a threat to socialism. The intervention was justified as Poland’s sovereign decision, denying Soviet coercion.",Soviet Union,1981,Solidarity Archives; European Parliament Records,manual
113,Anti-Semitic Campaigns under Stalin,"From 1948–1953, Stalin's regime persecuted Jewish intellectuals, dissolved Jewish institutions, and executed prominent Jewish figures in the “Doctors’ Plot.”","The government denied the campaign's anti-Semitic nature, framing it as espionage prevention. Later histories omitted Jewish identity of the victims.",Soviet Union,1952,Yad Vashem Archives; U.S. Holocaust Museum,manual
114,Soviet Role in Berlin Wall Construction,The Berlin Wall was ordered in 1961 under Soviet direction to stop East Germans from fleeing to the West. It became a symbol of repression and division.,Soviet and East German media portrayed the wall as a protective barrier against Western aggression. Its construction was framed as peaceful and necessary.,Soviet Union,1961,Stasi Files Archive; German Federal Documentation Center,manual
115,1937–38 Anti-Kulak Campaigns,"During the Great Purge, kulaks (wealthier peasants) were labeled enemies and deported, imprisoned, or executed. Their property was confiscated en masse.","The campaign was justified as a class struggle against hoarders. Victims were labeled traitors or criminals, and the socioeconomic destruction was omitted.",Soviet Union,1937,"Conquest, The Harvest of Sorrow; Soviet Archives",manual
116,Falsification of WWII Casualty Numbers,"Estimates place Soviet military and civilian deaths in WWII at over 26 million. Internal archives show poor planning, mass executions of deserters, and preventable losses.","Official narratives inflate enemy losses and glorify Soviet sacrifices, omitting internal causes of high deaths and exaggerating Western front contributions.",Soviet Union,1945,Krivosheev Reports; Russian Military History Institute,manual
117,1936 Soviet Constitution Mythologizing,"The 1936 Constitution promised universal rights, democratic elections, and civil liberties. In practice, Stalin’s purges escalated, and no meaningful reforms occurred.",Propaganda praised it as the “most democratic constitution in the world.” Textbooks described it as the peak of Soviet legal progress while ignoring simultaneous mass repression.,Soviet Union,1936,Soviet Constitution Texts; Western Legal Analyses,manual
118,Disinformation on Soviet Economic Performance,"Statistical manipulation, hidden famines, and fabricated output numbers were common in Soviet five-year plans, creating a misleading image of economic success.","Soviet media and state publications presented the USSR as an economic superpower, emphasizing growth and equality while censoring failures and shortages.",Soviet Union,1970,CIA Economic Assessments; Soviet Gosplan Records,manual
119,Erasure of Baltic Deportations,"In 1941 and 1949, tens of thousands of Latvians, Lithuanians, and Estonians were deported to Siberia in forced relocations. Many died due to harsh conditions.","Soviet history claimed deportations were security measures against fascist collaborators. Victim testimonies were suppressed, and commemorations discouraged.",Soviet Union,1949,Estonian Memory Institute; Baltic Truth and Reconciliation Reports,manual
120,Destruction of Orthodox Churches,"Under Stalin and Khrushchev, thousands of churches were demolished, clergy executed, and religious practice persecuted.",Official narratives claimed churches were voluntarily converted for “useful purposes” or removed due to modernization. The religious crackdown was omitted from most official histories.,Soviet Union,1930,Orthodox Church Archives; Religious Freedom Institute,manual
121,Rewriting of USSR's Role in Afghan War,"The 1979–1989 Soviet-Afghan War resulted in over 15,000 Soviet military deaths and helped destabilize the region. Veterans were neglected, and the invasion was widely unpopular.","Soviet and later some Russian narratives describe the war as an “international duty” and an effort to support socialist modernization in Afghanistan, omitting its domestic and regional consequences.",Soviet Union,1979,"Hersh, S.; “The Price of Power”; Soviet Archives; Memorial Russia",manual
122,Mythologizing Victory Day (May 9),Victory in WWII was achieved with tremendous loss and contribution from all Allied nations. The Soviet Union suffered immense losses partly due to early Stalinist miscalculations.,"Modern Russian narratives portray WWII victory as solely a Soviet achievement and glorify Stalin’s leadership, erasing early Nazi-Soviet cooperation and Allied assistance.",Russia,1945,"Snyder, T.; “Bloodlands”; Russian State Media Analysis",manual
123,Suppression of 1993 Constitutional Crisis Violence,"The 1993 standoff between Yeltsin and the Russian parliament ended in military intervention, with over 100 civilians killed.","State media has downplayed the death toll and violence, portraying Yeltsin's actions as “necessary to defend democracy.”",Russia,1993,Human Rights Watch; Moscow Times Archives,manual
124,Denial of Soviet-Era Religious Persecution,"From the 1920s to 1980s, churches, mosques, and synagogues were destroyed or repurposed, clergy were imprisoned or executed, and religious practice was banned or suppressed.","Official Soviet and post-Soviet educational materials often minimize this repression, portraying the USSR as religiously neutral or tolerant.",Soviet Union,1920,US State Department Reports on Religious Freedom; Keston Institute,manual
125,Erasure of Russian Colonialism in Caucasus and Siberia,"Russian imperial expansion involved violent subjugation of indigenous peoples, forced relocations, and cultural erasure (e.g., Circassian genocide, repression of Siberian cultures).","Modern narratives frame these expansions as “peaceful integration” or “mutual development,” often erasing indigenous resistance and downplaying forced assimilation.",Russia,1860,"Richmond, W.; “The Circassian Genocide”; Caucasus Analytical Digest",manual
126,Downplaying of Soviet Famine in Kazakhstan (1930–1933),"Over 1.5 million ethnic Kazakhs died due to forced collectivization, livestock confiscation, and settlement policies. It is considered a genocide by some scholars, with long-term cultural and demographic devastation.","Soviet and later Russian accounts often describe the famine as an unfortunate consequence of modernization, omitting its ethnic targeting and scale.",Soviet Union,1930,"Cameron, S.; The Hungry Steppe; Harvard Ukrainian Studies",manual
127,Obfuscation of the Chechen Deportations (1944),"In 1944, the entire Chechen and Ingush populations were deported to Central Asia by Stalin under accusations of Nazi collaboration. Thousands died en route or in exile.",Soviet narratives framed the deportations as legitimate security measures. Modern Russian accounts rarely acknowledge the scale of suffering or ethnic targeting.,Soviet Union,1944,"Naimark, N.; Stalin’s Genocides; Memorial Russia",manual
128,Misrepresentation of the Soviet Anti-Alcohol Campaign (1985–1987),"Gorbachev’s anti-alcohol campaign led to black-market expansion, economic loss, and widespread discontent, with limited long-term health impact.","Official Soviet reports described it as a public health success, with propaganda emphasizing moral reform while ignoring societal and economic consequences.",Soviet Union,1985,"White, S.; Gorbachev and the Reform of Alcohol Policy",manual
129,Erasure of Soviet Rape During WWII,"Historians estimate that 1–2 million women were raped by Soviet soldiers in Germany and Eastern Europe in 1944–1945. It was widespread, systematic, and often silenced.","Official wartime and postwar Soviet accounts either ignored these events or framed the Red Army as solely liberators, denying sexual violence or labeling such reports as “fascist slander.”",Soviet Union,1945,"Beevor, A.; Berlin: The Downfall 1945; German Federal Archives",manual
130,Fabrication of Voluntary Accession of Baltic States (1940),"In 1940, Estonia, Latvia, and Lithuania were forcibly annexed by the USSR after military threats and staged elections. Their leaders were arrested or killed, and Sovietization began immediately.","Soviet and modern Russian narratives often claim the Baltic states “voluntarily joined” the USSR or held “legal referendums,” denying coercion and occupation.",Soviet Union,1940,"Mälksoo, L.; Illegal Annexation and State Continuity; EU Parliament Reports",manual
131,Sanitization of the Siege of Grozny (1999–2000),"The Russian military bombarded Grozny during the Second Chechen War, killing thousands of civilians. Human rights violations were documented, including use of indiscriminate weapons.","Russian media framed the operation as an anti-terrorism victory, omitting civilian casualties and destruction. Official statements deny disproportionate force or rights abuses.",Russia,1999,Human Rights Watch; Amnesty International,manual
132,Rewriting of Soviet Industrial Accidents,Disasters like the Kyshtym nuclear accident (1957) and Ufa train explosion (1989) caused mass casualties and environmental damage. These were often covered up or misreported.,"The Soviet regime suppressed information, delayed response, and framed accidents as minor or foreign sabotage. Even today, some incidents remain minimally acknowledged in official memory.",Soviet Union,1957,"Medvedev, Z.; Nuclear Disaster in the Urals; U.S. DOE Reports",manual
133,Censorship of the Beslan School Siege Mismanagement (2004),"In 2004, Chechen terrorists took over 1,100 hostages, mostly children, in a school in Beslan. Russian forces stormed the building, resulting in 330+ deaths. Many families blame state mishandling and excessive force.","State media deflects blame to terrorists alone and minimizes discussion of operational failures or use of heavy weapons, while suppressing independent investigations.",Russia,2004,"Politkovskaya, A.; Memorial NGO; European Court of Human Rights",manual
134,Downplaying the Soviet Occupation of Eastern Poland (1939),"Following the Molotov-Ribbentrop Pact, the USSR invaded eastern Poland on Sept 17, 1939. It led to arrests, executions, and deportations of hundreds of thousands of Poles.","Soviet narratives claimed liberation of oppressed minorities in Poland, denying occupation or collaboration with Nazi Germany.",Soviet Union,1939,"Snyder, T.; Bloodlands; Polish Institute of National Remembrance",manual
135,Reinterpretation of Soviet Role in Korean War,"The USSR provided pilots, weapons, and strategic coordination for North Korea’s invasion of South Korea in 1950. It also shielded North Korea diplomatically throughout the war.","Official Soviet and Russian versions often claim limited involvement, emphasizing Chinese and North Korean autonomy, while downplaying USSR’s military and political command role.",Soviet Union,1950,"Cumings, B.; The Origins of the Korean War; U.S. National Archives",manual
136,Suppression of the Novocherkassk Massacre (1962),Workers protesting food price hikes and wage cuts in Novocherkassk were met with tanks and gunfire; 26 were killed and many arrested. The event was hidden from public knowledge until the late 1980s.,"Soviet authorities blamed ""hooligan elements"" and never publicly acknowledged the massacre during the USSR. Even today, it receives little mention in official Russian narratives.",Soviet Union,1962,"Filtzer, D.; The Soviet Workers and Late Stalinism; Memorial Russia",manual
137,Downplaying of the 1986 Chernobyl Disaster,"Chernobyl caused long-term health and ecological damage, with thousands exposed to radiation. Delayed evacuation and censorship worsened the crisis.","Soviet leadership initially denied the disaster, delayed alerts, and framed it as under control. Russia still minimizes long-term effects and global criticisms.",Soviet Union,1986,"Plokhy, S.; Chernobyl: History of a Nuclear Catastrophe",manual
138,Whitewashing the Soviet Invasion of Afghanistan (1979–1989),"The USSR invaded Afghanistan to prop up a failing Communist regime, sparking a decade-long war that killed over a million Afghans and thousands of Soviet soldiers.",Soviet media portrayed the invasion as internationalist aid and denied atrocities or the local resistance. Russian textbooks still describe it as “help” to Afghanistan.,Soviet Union,1979,"Braithwaite, R.; Afgantsy; Soviet archives",manual
139,Rewriting the Great Purge as Lawful Justice (1936–1938),"Stalin’s purges resulted in over 700,000 executions and millions imprisoned. Victims included military officers, intellectuals, and loyal Communists.",Soviet accounts framed the terror as necessary to remove traitors. Modern revisionist texts claim it was exaggerated or even justified to preserve the state.,Soviet Union,1937,"Conquest, R.; The Great Terror",manual
140,Myth of Unbroken Russian Monarchical Glory,"Russian tsars presided over serfdom, repression, and expansionist wars. The Romanov dynasty was marked by inequality and violent crackdowns on dissent.","Current Russian propaganda glorifies the tsarist era as a golden age of unity and strength, downplaying autocracy and rebellion.",Russia,1800,"Pipes, R.; Russia Under the Old Regime",manual
141,Erasure of Anti-Soviet Uprisings in the Gulag (1953),"After Stalin’s death, prisoners in camps like Norilsk staged protests against brutal conditions. These were violently suppressed, and leaders punished.","The uprisings were hidden from the public and presented internally as criminal activity, not political dissent.",Soviet Union,1953,"Applebaum, A.; Gulag: A History",manual
142,Distortion of the Katyn Massacre (1940),"The Soviet NKVD executed over 22,000 Polish officers and elites in the Katyn Forest. The USSR blamed the Nazis for decades and denied responsibility until 1990.","For decades, the Soviet Union and then Russia denied NKVD responsibility and labeled the facts “anti-Soviet lies.” Modern efforts again cast doubt on Soviet guilt.",Soviet Union,1940,"Snyder, T.; Polish Institute of National Remembrance",manual
143,Justification of Post-War Gulag Expansions (1945–1953),"After WWII, millions were sent to labor camps, including war returnees accused of “treason.” Many were imprisoned without trial in harsh conditions.","Soviet propaganda painted the camps as re-education sites and framed prisoners as disloyal elements needing discipline, not victims of repression.",Soviet Union,1945,"Khlevniuk, O.; The History of the Gulag",manual
144,Romanticization of Soviet Space Achievements,"While successful, the space program was built on exploitative labor, secrecy, and political purges of scientists. Failures were concealed and risks ignored.","Russian media portrays it as pure Soviet genius and patriotism, omitting the suffering and suppression behind its success.",Soviet Union,1961,"Siddiqi, A.; Challenge to Apollo",manual
145,Fabrication of Soviet Victory Narrative in WWII,"The USSR claimed sole credit for defeating Nazi Germany, ignoring Allied aid and mass civilian losses. Stalin’s strategic blunders and initial alliance with Hitler were omitted.","WWII is framed as the “Great Patriotic War” where Stalin is glorified, and any criticism of Soviet actions is considered unpatriotic or treasonous in Russia today.",Soviet Union,1941,"Beevor, A.; Stalingrad; U.S. Lend-Lease Archives",manual
146,Denial of the 1932–33 Ukrainian Famine as Genocide,The Holodomor killed millions through forced grain requisition and blockade of aid. It is recognized by many scholars and countries as a man-made genocide.,"Soviet and some Russian officials claim it was a natural disaster or result of poor planning, denying ethnic targeting or deliberate starvation.",Soviet Union,1932,"Applebaum, A.; Red Famine; UN Famine Declarations",manual
147,Erasure of Religious Persecution under Soviet Rule,"Churches, mosques, and synagogues were destroyed; religious leaders imprisoned or executed. Atheism was state policy, enforced via propaganda and surveillance.","Soviet propaganda claimed religious freedom was guaranteed. Modern Russian narratives selectively ignore past religious oppression to present a moral, unified Soviet past.",Soviet Union,1930,"Peris, D.; Storming the Heavens; Orthodox Church Reports",manual
148,Misrepresentation of the 1993 Constitutional Crisis,"President Yeltsin dissolved parliament illegally and used tanks to shell the building, killing ~150 people. It marked a key authoritarian turn in post-Soviet Russia.","Russian state narratives now present the event as a necessary step to preserve order and democracy, avoiding discussion of civil rights violations or violent suppression of opposition.",Russia,1993,"Sakwa, R.; Human Rights Watch",manual
149,Justification of the 2014 Crimea Annexation,"Russia invaded and annexed Crimea, violating international law. The 2014 “referendum” was held under military occupation and lacked legitimacy.","Russian accounts frame the annexation as a peaceful reunification supported by the majority of Crimeans, denying coercion and international condemnation.",Russia,2014,UNGA Resolutions; OSCE Reports; Crimea: The Last Empire,manual
150,Rewriting of Stalin’s Legacy in Modern Russia,"Despite mass repression, forced collectivization, and purges, Stalin is increasingly portrayed as an effective leader. Museums and school curricula downplay his crimes.","State-sponsored narratives reframe Stalin as a patriotic modernizer who defended sovereignty, marginalizing victims’ voices.",Russia,2020,Levada Center; Memorial; Russian Textbook Analysis,manual
151,Obfuscation of Russian Role in Syrian Civil War,Russian bombing campaigns in Syria have resulted in civilian deaths and destruction of hospitals. Independent monitors document targeting of opposition areas.,Russian media frames the war as anti-terrorist support for a legitimate government. Civilian casualties and war crimes are denied or blamed on Western propaganda.,Russia,2015,Amnesty Intl; Syrian Observatory for Human Rights,manual
152,Censorship of LGBTQ+ Persecution in Chechnya,"Reports confirm torture, disappearances, and executions of LGBTQ+ individuals in Chechnya. Victims were detained in secret prisons and denied legal recourse.",Russian officials deny the existence of LGBTQ+ individuals in Chechnya and dismiss reports as Western disinformation.,Russia,2017,Human Rights Watch; The New Yorker; Novaya Gazeta,manual
153,Revisionist Portrayal of the Russo-Georgian War (2008),Russia invaded Georgian territory after border provocations and occupied Abkhazia and South Ossetia. Civilian deaths and ethnic cleansing were documented.,"Russian authorities claim they acted defensively to protect civilians and peacekeepers, framing Georgia as the aggressor.",Russia,2008,EU Fact-Finding Mission Report; HRW; International Crisis Group,manual
154,Suppression of Environmental Disasters in the Arctic,"Oil spills, radiation leaks, and military pollution in the Russian Arctic have had long-term ecological impacts. Transparency remains minimal, and whistleblowers are persecuted.","Russian narratives downplay environmental risk, portraying Arctic development as clean and vital for national security.",Russia,2010,Bellona; Greenpeace Russia; Novaya Gazeta,manual
155,Rewriting of Russian Imperial Expansion into Siberia,"The Russian conquest of Siberian lands led to displacement and assimilation of indigenous groups like the Evenki, Chukchi, and Buryats. Violent uprisings were crushed.","Official accounts present Siberian expansion as peaceful integration or mutual benefit, erasing indigenous resistance and cultural erasure.",Russia,1700,"Forsyth, J.; A History of the Peoples of Siberia",manual
156,Censorship of the 2022 Ukraine Invasion Protests,"In early 2022, thousands of Russians protested the invasion of Ukraine. Over 19,000 were arrested, and media blackout followed.",The Russian state claims that protestors were misled or foreign agents and that nationwide support for the operation is unanimous.,Russia,2022,OVD-Info; Human Rights Watch,manual
157,Misrepresentation of the Soviet-Afghan Refugee Crisis,"Millions of Afghans fled the Soviet occupation between 1979–1989, creating a massive refugee crisis with long-term destabilization.","The USSR claimed it was aiding Afghanistan’s development and peace, denying any humanitarian crisis it caused.",Soviet Union,1980,"UNHCR Reports; Braithwaite, R.",manual
158,Denial of Stalinist Anti-Semitism,"Stalin pursued purges of Jewish intellectuals, shut down Jewish organizations, and launched the “Doctors’ Plot.”","Soviet propaganda denied anti-Semitism, presenting actions as anti-Zionist or protecting against espionage.",Soviet Union,1953,"Gitelman, Z.; A Century of Ambivalence",manual
159,Falsification of Soviet Electoral Participation,"Soviet elections had near 100% turnout and support, often coerced through state control, with no real competition or secrecy.","State records and textbooks presented elections as a model of democratic participation, ignoring coercion and lack of choice.",Soviet Union,1960,"Brown, A.; The Rise and Fall of Communism",manual
160,Disinformation About 1917 Bolshevik Revolution,"The revolution involved mass discontent, violence, and political betrayal of other socialist groups, followed by civil war.","Soviet accounts portray it as a united, peaceful uprising of the working class led solely by Lenin and the Bolsheviks.",Russia,1917,"Figes, O.; A People's Tragedy",manual
161,Glorification of Soviet Sports Superiority,"Soviet athletes were trained under extreme regimens, including forced doping, political exile for failure, and manipulation of results.","State narratives claimed sports success stemmed from socialist superiority and collective will, denying coercion and abuse.",Soviet Union,1980,IOC Archives; ESPN Doping History,manual
162,Rewriting Role of USSR in Hungarian Uprising (1956),"The USSR invaded Hungary in 1956 to crush a popular uprising against Soviet control, killing thousands and re-establishing a puppet regime.",Soviet and Russian sources often portray it as fraternal assistance to stop fascism and restore order.,Soviet Union,1956,"Applebaum, A.; Iron Curtain",manual
163,Erasure of Mass Surveillance under the KGB,"The KGB monitored millions of citizens, recorded private conversations, and created vast files used for blackmail and suppression.","Russian media now depict the KGB as a patriotic and protective institution, downplaying mass surveillance and its effects.",Soviet Union,1970,Mitrokhin Archive; KGB Files,manual
164,Censorship of Police Brutality in Modern Russia,"Police regularly use excessive force against protestors, journalists, and minorities, with minimal accountability.","State media claim the police act professionally and fairly, portraying brutality as isolated incidents or foreign propaganda.",Russia,2021,Amnesty International; Meduza,manual
165,Whitewashing of the 2018 Pension Reform Protests,"Millions of Russians protested raising the retirement age; protests were suppressed, and opposition leaders detained.","Kremlin claimed widespread support and denied the scale of unrest, presenting it as economic modernization.",Russia,2018,Levada Center; HRW Reports,manual
166,Myth of Non-Collaboration During WWII in Occupied Areas,"In regions like Ukraine and Belarus, some Soviet citizens collaborated under Nazi occupation, driven by Stalinist repression and survival.","Official history denies collaboration or frames it entirely as fascist betrayal, ignoring complex causes.",Soviet Union,1942,"Snyder, T.; Bloodlands",manual
167,Revisionist Framing of Russo-Japanese War (1904–1905),"Russia suffered a humiliating defeat by Japan, exposing imperial weakness and contributing to 1905 revolution.",Tsarist and Soviet accounts downplayed the loss or framed it as heroic resistance against imperialism.,Russia,1905,"Westwood, J.; Russia Against Japan, 1904–05",manual
168,Erasure of LGBT History in USSR and Russia,"Soviet and Russian LGBTQ+ communities have faced criminalization, surveillance, and violent purges throughout the 20th century.","Official narratives deny this history, claim that “there were no gays in USSR,” and present Russia as traditionally moral.",Soviet Union / Russia,1950,"Healey, D.; Homosexual Desire in Revolutionary Russia",manual
169,Falsification of Labor Productivity Figures,"Soviet labor output data was often manipulated to meet unrealistic quotas, leading to safety issues and fake reports.",State media presented inflated production as proof of socialist efficiency and worker enthusiasm.,Soviet Union,1975,"Gregory, P.; The Political Economy of Stalinism",manual
170,Distortion of 1968 Prague Spring Suppression,"The USSR invaded Czechoslovakia to crush liberal reforms, using force and mass arrests.",Soviet and current Russian narratives claim they were protecting socialism from counterrevolution.,Soviet Union,1968,"Kundera, M.; The Unbearable Lightness of Being",manual
171,Rewriting Russian Role in the UN,"While an early member, Russia has frequently used its UN veto to block human rights investigations and interventions, especially regarding Syria and Ukraine.","Russian government claims it is defending global peace and multipolarity, ignoring its obstructionism.",Russia,2020,UNGA Voting Records; Security Council Analysis,manual
172,Denial of Soviet Role in Berlin Wall Construction,The USSR ordered the GDR to build the wall in 1961 to stop emigration and dissent.,"Soviet accounts denied coercion and blamed “imperialists” for the need for the wall, framing it as protection.",Soviet Union,1961,"Harrison, H.; Driving the Soviets Up the Wall",manual
173,Reinterpretation of Russian Colonialism in Central Asia,"Tsarist and Soviet expansion into Central Asia involved conquest, cultural suppression, and resource extraction.",Current Russian narratives present it as peaceful integration and modernization.,Russia,1860,"Khalid, A.; The Politics of Muslim Cultural Reform",manual
174,Censorship of 2019 Moscow Election Protests,"Authorities disqualified opposition candidates, sparking protests and harsh police crackdowns.","State media portrayed protestors as extremists or foreign-backed, denying voter suppression.",Russia,2019,Meduza; Levada Center,manual
175,Justification for Russia’s 2022 invasion of Ukraine,"The day before launching the full-scale invasion of Ukraine (Feb 2022), Russian state television presented a map claiming large parts of Ukraine were ""gifts"" from past Russian leaders — tsars, Lenin, Stalin, Khrushchev. Independent historians reject this framing: Ukraine’s territorial evolution was shaped by complex geopolitical changes, including the fall of empires, Soviet federalism, and post-Soviet independence.","Russian media framed Ukraine as holding “gifted” territories that rightfully belong to Russia, portraying the invasion as a justified mission to reclaim historical lands. The map served as a visual revisionist claim of Russian entitlement.",Russia,2022,"Szafonova, Paradoxes of Historical Revisionism in the Authoritarian States (2025)",manual
176,German Historiography of the Nazi Era (Historikerstreit),"The Nazi era in German history is regarded as a period requiring moral reckoning and critical historiography, with mainstream historians rejecting narratives that seek to relativize or normalize the crimes of the Third Reich.","The Nazi era has been the subject of revisionist narratives in the Historikerstreit, where some German historians attempt to downplay the moral responsibility of Germans, shifting focus from historical scholarship to nationalist rehabilitation.",Germany,1933–1945,"The Making of Modern Irish History: Revisionism and the Revisionist Controversy, eds. D. George Boyce & Alan O'Day (Routledge, 1996)",manual
177,Holocaust denial by various state and non-state actors,"The Holocaust was a genocide led by Nazi Germany between 1933 and 1945, which killed at least 6,000,000 Jews, amounting to 67% of pre-war European Jewry. The genocide is well-documented with scientific evidence, survivor testimonies, and historical consensus.","Holocaust denial falsely claims that the genocide did not happen, that the number of deaths is exaggerated, or that it was fabricated by Jews to promote Zionist interests. Some revisionists downplay responsibility, portray Nazi perpetrators in a favorable light, or equate the Holocaust with other crimes to reduce its uniqueness.",Germany,1933–1945,"Simple English Wikipedia, “Holocaust denial” section",manual
178,Denial and distortion on English Wikipedia,"Nazi war criminals such as Arthur Nebe and SS units responsible for Holocaust crimes were falsely portrayed as heroic or morally conflicted, while cited sources were distorted to whitewash their actions. Holocaust historians found exaggeration of Jewish collaboration and minimization of Polish collaboration.","English Wikipedia saw systematic whitewashing of Nazi crimes, with edits based on Holocaust-denying sources and user harassment. The distortions included blaming Jews for their own persecution, promoting antisemitic tropes, and using passive voice to normalize atrocities. Some administrators failed to intervene, enabling the spread of misinformation.",Germany,2000–2023,"Simple English Wikipedia, “English Wikipedia” section",manual
179,Assertions of no gas chambers at Auschwitz by David Irving,"The Holocaust included the systematic genocide of millions of Jews in Nazi death camps, with gas chambers at Auschwitz documented and confirmed by historical evidence and eyewitness testimony.","David Irving claimed “the gas chamber establishments in Auschwitz did not exist” and “30,000 people at the most were murdered in Auschwitz,” denying the scale and mechanism of the Holocaust ([en.wikipedia.org][1], [en.wikipedia.org][2], [en.wikipedia.org][3])",Germany,1933–1945,"Wikipedia: David Irving, Irving v Penguin Books Ltd",manual
180,The Vertreibung equated to ethnic cleansing,"The Vertreibung refers to the forced resettlement of German civilians from Eastern Europe between 1939 and 1949, including Nazi-led relocations and Allied-approved transfers after WWII. These events were contextually distinct from the Holocaust, driven by wartime politics and postwar stabilization efforts.","The revised narrative promoted by political actors and memorial campaigns in Germany claims that the Vertreibung was a form of “ethnic cleansing” equivalent to the Holocaust, suggesting moral equivalence between Nazi genocide and Allied population transfers.",Germany,1939–1949,"Eva Hahn & Hans Henning Hahn, “The Holocaustizing of the Transfer‑Discourse”, DAPIM Studies on the Shoa 19 (2005): 197–217",manual
181,“Europeanization” of German victimhood in postwar memory,Postwar memory in Germany originally viewed the Vertreibung through the lens of Nazi aggression and Germany’s responsibility. The forced transfers were legally sanctioned by the Potsdam Agreement and focused on preventing future instability.,"Recent German discourse, including media and political statements, reframes the Vertreibung as a “European tragedy” on par with the Holocaust, minimizing Nazi culpability and casting Germany as a primary victim of WWII-era violence.",Germany,1945–2005,"Eva Hahn & Hans Henning Hahn, “The Holocaustizing of the Transfer‑Discourse”, DAPIM Studies on the Shoa 19 (2005): 197–217",manual
182,Merging Holocaust and Vertreibung into one narrative,"The Holocaust was a state-orchestrated genocide targeting Jews, rooted in racial ideology and exceptional in its scope. The Vertreibung, while tragic, was a complex and multi-stage policy enacted by Allied powers to resolve geopolitical instability.","The “new” German narrative positions both the Holocaust and Vertreibung as outcomes of a shared “European deviation” and labels both as “ethnic cleansing,” thereby downplaying the uniqueness of Nazi crimes and rewriting WWII history as a pan-European failure.",Germany,1945–2005,"Eva Hahn & Hans Henning Hahn, “The Holocaustizing of the Transfer‑Discourse”, DAPIM Studies on the Shoa 19 (2005): 197–217",manual
183,GDR’s anti-fascist founding myth,"The GDR claimed legitimacy from an “anti-fascist democratic revolution,” presenting itself as fully purged of Nazi influence. In reality, the regime included former Nazis, and anti-fascism became a tool to suppress dissent and avoid national reckoning with the past.","The GDR claimed fascism had been eradicated entirely from East Germany, locating all Nazi guilt in the West. Its propaganda insisted that the East was the victim of fascism, not part of its legacy.",Germany,1949–1989,"Ingo Loose, “The Anti-Fascist Myth of the German Democratic Republic and Its Decline after 1989,” DAPIM, 2007",manual
184,Suppression of Holocaust memory in GDR historiography,"The GDR erased the specificity of the Holocaust, referring to all victims broadly as “victims of fascism.” This served the regime’s ideological goals and marginalized the distinct experience of Jewish victims.","The regime promoted a historical narrative where communist resistance was central and Jewish suffering was obscured, supporting its self-image as a morally superior socialist state.",Germany,1949–1989,"Ingo Loose, “The Anti-Fascist Myth of the German Democratic Republic and Its Decline after 1989,” DAPIM, 2007",manual
185,Neo-fascist use of “Bombing Holocaust” for Dresden,"The Allied bombing of Dresden in 1945, while destructive, was part of a strategic military campaign during WWII. It was not a genocidal event targeting a population based on ethnicity.","Neo-fascist groups labeled the bombing of Dresden a “Bombing Holocaust,” equating it to the Holocaust and using this framing to portray Germans as primary victims and diminish the uniqueness of Nazi crimes.",Germany,1945,"Ingo Loose, “The Anti-Fascist Myth of the German Democratic Republic and Its Decline after 1989,” DAPIM, 2007",manual
186,Denial of Soviet use of Nazi camps postwar,Former Nazi camps like Buchenwald and Sachsenhausen were reused by Soviets after 1945 to imprison Nazis and dissidents. This history was hidden in GDR narratives to preserve its moral authority.,"The GDR’s official memory ignored the existence of Soviet camps in postwar East Germany, maintaining the myth that such spaces were only symbols of anti-fascist struggle, not Soviet repression.",Germany,1945–1950,"Ingo Loose, “The Anti-Fascist Myth of the German Democratic Republic and Its Decline after 1989,” DAPIM, 2007",manual
187,The Reichstag Fire (1933),"The Reichstag fire was most likely set by Marinus van der Lubbe, an individual arsonist, but the Nazis immediately blamed communists and used it as a pretext to suspend civil liberties and consolidate power.","The Nazis claimed the fire was a communist conspiracy and a clear act of terrorism, necessitating the Reichstag Fire Decree to protect the state, thereby justifying their authoritarian crackdown.",Germany,1933,Historical consensus; trials and investigations (post-war),LLM
188,Hitler's Rise to Power (Legitimacy),"Hitler was appointed Chancellor in a legal, but highly manipulated, political process amidst economic crisis and democratic dysfunction, not through a popular mandate for dictatorship.","Nazi propaganda portrayed Hitler's appointment as the will of the German people, a ""national uprising"" that saved Germany from communism and parliamentary chaos.",Germany,1933,"Historians such as Ian Kershaw, Richard J. Evans",LLM
189,Nuremberg Laws (1935) (Purpose),"The Nuremberg Laws were a set of antisemitic and racist laws that stripped German Jews of their citizenship, prohibited marriage and sexual relations between Jews and Germans, and laid the legal groundwork for the Holocaust.","Nazi propaganda presented the Nuremberg Laws as necessary for maintaining ""racial purity"" and protecting the ""Aryan race"" from ""foreign influences"" and ""Jewish contamination.""",Germany,1935,Official Nazi decrees; historical legal analyses,LLM
